id;Gift;URL;Response
0;tools;https://cdn.pixabay.com/photo/2012/02/22/20/02/tools-15539_1280.jpg;None.
0;tools;https://cdn.pixabay.com/photo/2012/02/22/20/02/tools-15539_1280.jpg;None
0;tools;https://cdn.pixabay.com/photo/2012/02/22/20/02/tools-15539_1280.jpg;None
0;tools;https://cdn.pixabay.com/photo/2012/02/22/20/02/tools-15539_1280.jpg;None
0;tools;https://cdn.pixabay.com/photo/2012/02/22/20/02/tools-15539_1280.jpg;None
0;tools;https://cdn.pixabay.com/photo/2012/02/22/20/02/tools-15539_1280.jpg;None
0;tools;https://cdn.pixabay.com/photo/2012/02/22/20/02/tools-15539_1280.jpg;None
0;tools;https://cdn.pixabay.com/photo/2012/02/22/20/02/tools-15539_1280.jpg;None
0;tools;https://cdn.pixabay.com/photo/2012/02/22/20/02/tools-15539_1280.jpg;None
0;tools;https://cdn.pixabay.com/photo/2012/02/22/20/02/tools-15539_1280.jpg;None
1;ball;https://cdn.pixabay.com/photo/2016/05/16/21/07/football-1396740_1280.jpg;Unisex
1;ball;https://cdn.pixabay.com/photo/2016/05/16/21/07/football-1396740_1280.jpg;None – it's a soccer ball.
1;ball;https://cdn.pixabay.com/photo/2016/05/16/21/07/football-1396740_1280.jpg;Unisex
1;ball;https://cdn.pixabay.com/photo/2016/05/16/21/07/football-1396740_1280.jpg;Unisex
1;ball;https://cdn.pixabay.com/photo/2016/05/16/21/07/football-1396740_1280.jpg;Unisex
1;ball;https://cdn.pixabay.com/photo/2016/05/16/21/07/football-1396740_1280.jpg;Both
1;ball;https://cdn.pixabay.com/photo/2016/05/16/21/07/football-1396740_1280.jpg;Unisex
1;ball;https://cdn.pixabay.com/photo/2016/05/16/21/07/football-1396740_1280.jpg;Unisex
1;ball;https://cdn.pixabay.com/photo/2016/05/16/21/07/football-1396740_1280.jpg;Neither
1;ball;https://cdn.pixabay.com/photo/2016/05/16/21/07/football-1396740_1280.jpg;Unisex
2;boxing;https://media.istockphoto.com/id/1337235849/es/foto/guantes-de-boxeo-rojos-sobre-fondo-negro-guantes-b%C3%B3xer-sobre-fondo-oscuro.jpg?s=1024x1024&w=is&k=20&c=_vwtoS944bsUFO48BlUlScpeTmskpRKDDP5OUSLeO8E=;Unisex
2;boxing;https://media.istockphoto.com/id/1337235849/es/foto/guantes-de-boxeo-rojos-sobre-fondo-negro-guantes-b%C3%B3xer-sobre-fondo-oscuro.jpg?s=1024x1024&w=is&k=20&c=_vwtoS944bsUFO48BlUlScpeTmskpRKDDP5OUSLeO8E=;Unisex
2;boxing;https://media.istockphoto.com/id/1337235849/es/foto/guantes-de-boxeo-rojos-sobre-fondo-negro-guantes-b%C3%B3xer-sobre-fondo-oscuro.jpg?s=1024x1024&w=is&k=20&c=_vwtoS944bsUFO48BlUlScpeTmskpRKDDP5OUSLeO8E=;Unisex
2;boxing;https://media.istockphoto.com/id/1337235849/es/foto/guantes-de-boxeo-rojos-sobre-fondo-negro-guantes-b%C3%B3xer-sobre-fondo-oscuro.jpg?s=1024x1024&w=is&k=20&c=_vwtoS944bsUFO48BlUlScpeTmskpRKDDP5OUSLeO8E=;Unisex
